"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809969","Monograph","Language material ; Text","Online resource (ebook)","GBB656003","9781781100226","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the chamber of secrets","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408845653 ; Previously issued in print: London: Bloomsbury, 1998"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809970","Monograph","Language material ; Text","Online resource (ebook)","GBB656004","9781781100233","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","Harry Potter","3 [Harry Potter]","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855676 ; Previously issued in print: London: Bloomsbury, 1999"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809971","Monograph","Language material ; Text","Online resource (ebook)","GBB656005","9781781100240","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Order of the Phoenix","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855690 ; Previously issued in print: London: Bloomsbury, 2003"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809972","Monograph","Language material ; Text","Online resource (ebook)","GBB656006","9781781100257","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Half-Blood Prince","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855706 ; Previously issued in print: London: Bloomsbury, 2005"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809973","Monograph","Language material ; Text","Online resource (ebook)","GBB656007","9781781100264","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408865668 ; Previously issued in print: London: Bloomsbury, 2007"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809974","Monograph","Language material ; Text","Online resource (ebook)","GBB656008","9781781105672","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the goblet of fire","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408865637 ; Previously issued in print: London: Bloomsbury, 2000"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017843507","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB665621","9781317122104","","","","","","Steveker, Lena, 1976-, editor [person] ; Berndt, Katrin, editor [person]","Heroism in the Harry Potter series","","Ashgate studies in childhood, 1700 to the present","","England","London","Routledge","2016","","1 online resource","823.92","","Children's fiction","English","Additional physical form: Print version. 9781409412441 ; Previously issued in print: Farnham: Ashgate, 2011"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017863575","Monograph","Language material ; Text","Online resource (ebook)","GBB673826","9781781106464","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person]","Harry Potter : the complete collection","Harry Potter and the Deathly Hallows ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Novels. Selections","","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017869774","Monograph","Language material ; Text","Volume","GBB675708","9781408869130","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2016","","461 pages, 22 cm","823.92","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 1999"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017954157","Monograph","Language material ; Still image ; Text","Volume","GBB6A4269","9781408876831","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2016","","258 pages, colour illustrations, 33 cm + 1 folded sheet","823.92","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 1998"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018247765","Monograph","Language material ; Text","Volume","GBB732760","9781408869154","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2017","","799 pages, 22 cm","823.92","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 2003"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018247766","Monograph","Language material ; Text","Volume","GBB732761","9781408869161","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2017","","541 pages, 22 cm","823.92","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 2005"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018286055","Monograph","Language material ; Still image ; Text","Volume","GBB760710","9781408883730 ; 9781408883747","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th Anniversary edition ; Gryffindor edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 20 cm","823.92","","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018286056","Monograph","Language material ; Still image ; Text","Volume","GBB760711","9781408883754 ; 9781408883761","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th Anniversary edition ; Slytherin edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 20 cm","823.92","","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018286057","Monograph","Language material ; Still image ; Text","Volume","GBB760712","9781408883778 ; 9781408883785","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th Anniversary edition ; Ravenclaw edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 20 cm","823.92","","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018286058","Monograph","Language material ; Still image ; Text","Volume","GBB760713","9781408883792 ; 9781408883808","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th anniversary edition ; Hufflepuff edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 20 cm","823.92","","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018300629","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","Buddingh', Wiebe, 1957-, translator [person] ; Rowling, J. K., author [person] ; Rowling, J. K. [person]","Harry Potter","Harry Potter and the Deathly Hallows ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter en de Orde van de Feniks ; Harry Potter en de geheime kamer ; Harry Potter en de relieken van de dood ; Novels. Selections. Dutch","","","Netherlands","Amsterdam","Harmonie","2016","Pocket 2e druk","volumes, 18 cm","","YF.2017.a.11389","Children's fiction ; Fantasy","Dutch","'Pottermore.' ; Translated from the English"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018306670","Monograph","Language material ; Text","Volume","","9787223022583","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971- [person]","Ha-ruʾe Phod-thar dang tshe rdo","Harry Potter and the philosopher's stone. Tibetan","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2007","","320 pages, illustrations, 24 cm","895.43","","Children's fiction ; Fiction","Tibetan",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018306676","Monograph","Language material ; Text","Volume","","9787223026246","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971- [person]","Ha-ruʾe Phod-thar dang gsang baʾi khang pa","Harry Potter and the chamber of secrets. Tibetan","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2009","","348 pages, illustrations, 24 cm","895.43","","Children's fiction ; Fiction","Tibetan",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018330855","Monograph","Cartographic image ; Language material ; Text","Volume","GBB775829","9781408869178","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","The Harry Potter series","7 [The Harry Potter series]","England","London","Bloomsbury","2017","","1 volume, map (black and white), 22 cm","823.92","","Children's fiction ; Fantasy","English","Originally published: 2007"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018414446","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","ʿAbd Allāh, Rajāʾ, translator [person] ; Rowling, J. K., author [person] ; محمود، سحر جبر،, editor [person] ; Ibrāhīm, Dāliyā Muḥammad, editor [person] ; ابراهيم، دالا محمد،, editor [person] ; عبد الله، رجاء،, translator [person] ; Maḥmūd, Saḥar Jabr, editor [person]","Hārī Būtir wa-ḥajar al-faylasūf","Harry Potter and the philosopher's stone. Arabic ; هاري بوتر و حجر الفيلسوف","Silsilat Hārī Būtir ; سلسلة هاري بوتر ؛","1 [Silsilat Hārī Būtir] ; 1 [سلسلة هاري بوتر ؛]","Egypt","al-Jīzah ; الجيزة","Dār Nahḍat Miṣr lil-Nashr ; دار نهضة مصر للنشر،","2016","","263 pages, 20 cm","","","Children's fiction ; Fantasy","Arabic","'HP.'"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018459680","Monograph","Language material ; Still image ; Text","Volume","GBB7D6701","9781408884768","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the prisoner of Azkaban","","The Harry Potter series","3 [The Harry Potter series]","England","London","Bloomsbury","2017","Deluxe illustrated slipcase edition, illustrated by Jim Kay","1 volume, colour illustrations, 33 cm","823.92","","Children's fiction ; Fantasy","English","In slip case"
